,lr,p,b0,bi,trunk,best_epoch,R2,MSE
0,0.0001,4.0,4.0,2.0,4.0,2.0,-16249.4892578125,51986.1640625
1,0.0001,4.0,4.0,2.0,8.0,2.0,-22862.044921875,73131.40625
2,0.0001,4.0,4.0,2.0,12.0,2.0,-14054.814453125,44783.5859375
3,0.0001,4.0,4.0,4.0,4.0,2.0,-22251.384765625,71650.375
4,0.0001,4.0,4.0,4.0,8.0,2.0,-16974.263671875,54264.1171875
5,0.0001,4.0,4.0,4.0,12.0,2.0,-3707911.75,12115385.0
6,0.0001,4.0,4.0,8.0,4.0,2.0,-674454.25,2192684.75
7,0.0001,4.0,4.0,8.0,8.0,2.0,-49131.2265625,160095.0625
8,0.0001,4.0,4.0,8.0,12.0,2.0,-181970.421875,603259.1875
9,0.0001,4.0,8.0,2.0,4.0,2.0,-40782.70703125,132207.25
10,0.0001,4.0,8.0,2.0,8.0,2.0,-26874.861328125,86026.375
11,0.0001,4.0,8.0,2.0,12.0,2.0,-12234.3720703125,39202.98828125
12,0.0001,4.0,8.0,4.0,4.0,2.0,-26951.970703125,87809.2109375
13,0.0001,4.0,8.0,4.0,8.0,2.0,-29213.802734375,95384.1640625
14,0.0001,4.0,8.0,4.0,12.0,2.0,-37183.01171875,121198.390625
15,0.0001,4.0,8.0,8.0,4.0,2.0,-293719.84375,965344.375
16,0.0001,4.0,8.0,8.0,8.0,2.0,-42734.28125,138760.703125
17,0.0001,4.0,8.0,8.0,12.0,2.0,-4224.39697265625,14398.1787109375
18,0.0001,4.0,12.0,2.0,4.0,2.0,-13536.92578125,43421.9375
19,0.0001,4.0,12.0,2.0,8.0,2.0,-15312.9052734375,48924.66796875
20,0.0001,4.0,12.0,2.0,12.0,2.0,-14778.65234375,47261.64453125
21,0.0001,4.0,12.0,4.0,4.0,2.0,-8308.08984375,26777.962890625
22,0.0001,4.0,12.0,4.0,8.0,2.0,-15303.505859375,48966.61328125
23,0.0001,4.0,12.0,4.0,12.0,2.0,-57472.59765625,188961.375
24,0.0001,4.0,12.0,8.0,4.0,2.0,-57757.5546875,191324.671875
25,0.0001,4.0,12.0,8.0,8.0,2.0,-21381.3671875,72450.296875
26,0.0001,4.0,12.0,8.0,12.0,2.0,-29905.728515625,98883.7109375
27,0.0001,8.0,4.0,2.0,4.0,2.0,-98440.5703125,314389.21875
28,0.0001,8.0,4.0,2.0,8.0,2.0,-74166.921875,236325.171875
29,0.0001,8.0,4.0,2.0,12.0,2.0,-74707.0078125,251071.75
30,0.0001,8.0,4.0,4.0,4.0,2.0,-160431.625,523209.46875
31,0.0001,8.0,4.0,4.0,8.0,2.0,-78808.984375,254628.71875
32,0.0001,8.0,4.0,4.0,12.0,2.0,-85225.578125,276970.90625
33,0.0001,8.0,4.0,8.0,4.0,2.0,-113360.484375,363327.1875
34,0.0001,8.0,4.0,8.0,8.0,2.0,-115923.90625,372938.65625
35,0.0001,8.0,4.0,8.0,12.0,2.0,-26409.931640625,87648.546875
36,0.0001,8.0,8.0,2.0,4.0,2.0,-22881.1328125,76096.09375
37,0.0001,8.0,8.0,2.0,8.0,2.0,-43149.66796875,138872.171875
38,0.0001,8.0,8.0,2.0,12.0,2.0,-118206.9375,391145.1875
39,0.0001,8.0,8.0,4.0,4.0,2.0,-83381.7421875,266419.0625
40,0.0001,8.0,8.0,4.0,8.0,2.0,-68368.96875,220578.671875
41,0.0001,8.0,8.0,4.0,12.0,2.0,-76542.734375,246271.109375
42,0.0001,8.0,8.0,8.0,4.0,2.0,-78697.0078125,251198.828125
43,0.0001,8.0,8.0,8.0,8.0,2.0,-134225.546875,430666.53125
44,0.0001,8.0,8.0,8.0,12.0,2.0,-66780.640625,216298.046875
45,0.0001,8.0,12.0,2.0,4.0,2.0,-61106.11328125,195436.1875
