,lr,p,b0,bi,trunk,R2_1,R2_2,R2_3,R2_4
0,0.0001,4,4,4,4,0.969639203,0.948529783,0.908810755,0.893550095
1,0.0001,4,4,4,8,0.973808275,0.95345349,0.910931965,0.89330671
2,0.0001,4,4,4,16,0.973264161,0.957461486,0.913562121,0.892632404
3,0.0001,4,4,8,4,0.970775207,0.947064845,0.906204637,0.89364549
4,0.0001,4,4,8,8,0.974495427,0.946466669,0.913750551,0.893171126
5,0.0001,4,4,8,16,0.976338542,0.952338767,0.919188079,0.895700297
6,0.0001,4,4,16,4,0.9658348,0.948758787,0.906506316,0.889677246
7,0.0001,4,4,16,8,0.977522847,0.949286062,0.910916415,0.888047104
8,0.0001,4,4,16,16,0.975806804,0.958910701,0.918242268,0.901080766
9,0.0001,4,8,4,4,0.965710335,0.952131284,0.90492695,0.88918393
10,0.0001,4,8,4,8,0.979278898,0.958043995,0.91961268,0.894303989
11,0.0001,4,8,4,16,0.967500036,0.951645453,0.913277952,0.887545124
12,0.0001,4,8,8,4,0.967559697,0.955101424,0.915601357,0.890417933
13,0.0001,4,8,8,8,0.9754068,0.949851394,0.915770435,0.897490074
14,0.0001,4,8,8,16,0.968008383,0.953078412,0.911307574,0.893038161
15,0.0001,4,8,16,4,0.97475372,0.954930013,0.916756626,0.898107086
16,0.0001,4,8,16,8,0.972674597,0.955778029,0.909301521,0.886854185
17,0.0001,4,8,16,16,0.968639696,0.954176621,0.909856262,0.891113954
18,0.0001,4,16,4,4,0.973679367,0.958822353,0.918093414,0.895250132
19,0.0001,4,16,4,8,0.978382711,0.950456654,0.914905007,0.89672462
20,0.0001,4,16,4,16,0.971789547,0.955776333,0.911303055,0.898160106
21,0.0001,4,16,8,4,0.981841578,0.962899261,0.914521083,0.903904264
22,0.0001,4,16,8,8,0.971542018,0.956306975,0.908492254,0.893970287
23,0.0001,4,16,8,16,0.976480574,0.958382269,0.918363704,0.891388968
24,0.0001,4,16,16,4,0.974551593,0.949446985,0.917344826,0.896498816
25,0.0001,4,16,16,8,0.974353208,0.950663757,0.914607912,0.892680263
26,0.0001,4,16,16,16,0.975687817,0.951779551,0.912992882,0.896267118
27,0.0001,8,4,4,4,0.976084177,0.953859952,0.914648191,0.897551688
28,0.0001,8,4,4,8,0.976853621,0.960070568,0.913561304,0.895557464
29,0.0001,8,4,4,16,0.967952666,0.954221588,0.916821845,0.8951781
30,0.0001,8,4,8,4,0.977422645,0.957449214,0.919580262,0.898370445
31,0.0001,8,4,8,8,0.975423613,0.952969011,0.918866787,0.901350983
32,0.0001,8,4,8,16,0.9671747,0.945868879,0.910764115,0.889140366
33,0.0001,8,4,16,4,0.979080138,0.957834459,0.915869317,0.893389603
34,0.0001,8,4,16,8,0.975463024,0.953277254,0.913702172,0.893633341
35,0.0001,8,4,16,16,0.971035344,0.949522773,0.909639231,0.891226826
36,0.0001,8,8,4,4,0.978655767,0.959811476,0.91585847,0.901920659
37,0.0001,8,8,4,8,0.969815931,0.949524186,0.915974841,0.88949077
38,0.0001,8,8,4,16,0.965341505,0.951680349,0.912429198,0.887206306
39,0.0001,8,8,8,4,0.976609374,0.962285913,0.918483969,0.89465301
40,0.0001,8,8,8,8,0.98245315,0.961027829,0.92006065,0.893524204
41,0.0001,8,8,8,16,0.969384163,0.950809196,0.911522958,0.886224541
42,0.0001,8,8,16,4,0.978575017,0.958263744,0.921680311,0.898063004
43,0.0001,8,8,16,8,0.980412728,0.957819009,0.920025999,0.892599262
44,0.0001,8,8,16,16,0.974197542,0.95284456,0.911099371,0.891035503
45,0.0001,8,16,4,4,0.971835986,0.95269893,0.911163958,0.898558237
46,0.0001,8,16,4,8,0.974230329,0.954435195,0.911486984,0.886525961
47,0.0001,8,16,4,16,0.977214196,0.954341845,0.912548834,0.892812413
48,0.0001,8,16,8,4,0.971732654,0.956130445,0.914513094,0.886521637
49,0.0001,8,16,8,8,0.966694101,0.952069453,0.911063634,0.891106883
50,0.0001,8,16,8,16,0.970295091,0.954394213,0.917869365,0.898021214
51,0.0001,8,16,16,4,0.9758209,0.953280367,0.908737436,0.896338204
52,0.0001,8,16,16,8,0.976936018,0.950613462,0.912766358,0.895629915
53,0.0001,8,16,16,16,0.979836094,0.960774858,0.918000736,0.901789307
54,0.0001,16,4,4,4,0.970605398,0.950475605,0.916289756,0.898703996
55,0.0001,16,4,4,8,0.975572534,0.96303826,0.922613393,0.893487923
56,0.0001,16,4,4,16,0.977285132,0.95586068,0.913696935,0.893316186
57,0.0001,16,4,8,4,0.96622844,0.951753899,0.909633197,0.891005972
58,0.0001,16,4,8,8,0.972695991,0.948722185,0.911353467,0.887379636
59,0.0001,16,4,8,16,0.977992126,0.959406504,0.91962042,0.901461423
60,0.0001,16,4,16,4,0.968559086,0.95542959,0.909350513,0.889271891
61,0.0001,16,4,16,8,0.973409355,0.958216048,0.909133664,0.89271037
62,0.0001,16,4,16,16,0.975221299,0.951598936,0.910110133,0.892218929
63,0.0001,16,8,4,4,0.969348115,0.952492262,0.911986746,0.89772705
64,0.0001,16,8,4,8,0.978532198,0.956679176,0.909268848,0.89509657
65,0.0001,16,8,4,16,0.968094019,0.954079293,0.908234588,0.894084889
66,0.0001,16,8,8,4,0.978256105,0.958328579,0.916711568,0.893180149
67,0.0001,16,8,8,8,0.966155921,0.949021327,0.910795551,0.890995713
