,lr,p,b0,bi,trunk,R2_1,R2_2,R2_3,R2_4
0,0.0001,4,4,4,4,0.981679163,0.953369517,0.923392296,0.888723649
1,0.0001,4,4,4,8,0.986187438,0.956869955,0.928559325,0.892095381
2,0.0001,4,4,4,16,0.983484047,0.951159428,0.92768714,0.896769003
3,0.0001,4,4,8,4,0.97586117,0.950002959,0.918508066,0.88995726
4,0.0001,4,4,8,8,0.978033352,0.954101672,0.921624874,0.890653137
5,0.0001,4,4,8,16,0.983280542,0.956633211,0.931178633,0.89436464
6,0.0001,4,4,16,4,0.981977001,0.954792852,0.917340199,0.887877622
7,0.0001,4,4,16,8,0.981753276,0.953498365,0.924484614,0.897332977
8,0.0001,4,4,16,16,0.988265001,0.955052099,0.9217118,0.895009735
9,0.0001,4,8,4,4,0.987506184,0.953133223,0.924627474,0.894263685
10,0.0001,4,8,4,8,0.979063168,0.949218513,0.927250507,0.888371774
11,0.0001,4,8,4,16,0.986950573,0.953635286,0.922988139,0.893004652
12,0.0001,4,8,8,4,0.987494983,0.948723524,0.922915807,0.896702093
13,0.0001,4,8,8,8,0.983912012,0.949005988,0.920717195,0.887186212
14,0.0001,4,8,8,16,0.980881471,0.957063951,0.926651511,0.89578458
15,0.0001,4,8,16,4,0.989165787,0.956863072,0.929114312,0.895746754
16,0.0001,4,8,16,8,0.977826252,0.955958249,0.925323631,0.886926893
17,0.0001,4,8,16,16,0.980146962,0.95401475,0.925752959,0.892530687
18,0.0001,4,16,4,4,0.983052968,0.960799985,0.927101412,0.894090532
19,0.0001,4,16,4,8,0.983289094,0.952903747,0.919705651,0.897493105
20,0.0001,4,16,4,16,0.985542175,0.950566657,0.922782558,0.891620624
21,0.0001,4,16,8,4,0.986826473,0.960440253,0.927365465,0.898077801
22,0.0001,4,16,8,8,0.982988604,0.953550078,0.921917528,0.886949783
23,0.0001,4,16,8,16,0.987797792,0.957023799,0.931055062,0.898811623
24,0.0001,4,16,16,4,0.977656715,0.95597926,0.926472661,0.892459606
25,0.0001,4,16,16,8,0.981294277,0.954130172,0.928627951,0.896521538
26,0.0001,4,16,16,16,0.986145841,0.958747272,0.922318224,0.892195517
27,0.0001,8,4,4,4,0.98677356,0.952031354,0.929232232,0.889637309
28,0.0001,8,4,4,8,0.989760877,0.95158619,0.91985846,0.891744896
29,0.0001,8,4,4,16,0.983750032,0.950962929,0.92121022,0.88925518
30,0.0001,8,4,8,4,0.982127002,0.955605256,0.924795852,0.898637289
31,0.0001,8,4,8,8,0.981088568,0.959516226,0.922889069,0.898721792
32,0.0001,8,4,8,16,0.982795495,0.951087276,0.926065872,0.897432535
33,0.0001,8,4,16,4,0.979179348,0.949467417,0.925397428,0.894873332
34,0.0001,8,4,16,8,0.990503831,0.954612822,0.927495413,0.901706919
35,0.0001,8,4,16,16,0.983082227,0.955702744,0.927203534,0.889607696
36,0.0001,8,8,4,4,0.986088228,0.958337607,0.931937358,0.900304024
37,0.0001,8,8,4,8,0.991947954,0.9616256,0.922997536,0.901507227
38,0.0001,8,8,4,16,0.984893088,0.954317746,0.920833253,0.892240338
39,0.0001,8,8,8,4,0.985159272,0.954547043,0.928601327,0.898454004
40,0.0001,8,8,8,8,0.982932031,0.957465886,0.932335138,0.899234638
41,0.0001,8,8,8,16,0.984675503,0.953313545,0.923597849,0.889878484
42,0.0001,8,8,16,4,0.982777888,0.950128977,0.923959567,0.895362158
43,0.0001,8,8,16,8,0.981887316,0.957779675,0.923582632,0.889255714
44,0.0001,8,8,16,16,0.98866129,0.962572837,0.932111829,0.894658449
45,0.0001,8,16,4,4,0.985696992,0.960989422,0.931535611,0.902631852
46,0.0001,8,16,4,8,0.979419802,0.956302,0.924509374,0.890954852
47,0.0001,8,16,4,16,0.992446054,0.962813707,0.92669386,0.89992388
48,0.0001,8,16,8,4,0.980280299,0.954931596,0.917969372,0.895098538
49,0.0001,8,16,8,8,0.983913281,0.946841012,0.922924299,0.892362318
50,0.0001,8,16,8,16,0.993227736,0.957833372,0.929551144,0.896895073
51,0.0001,8,16,16,4,0.986731618,0.955124174,0.921704693,0.893950677
52,0.0001,8,16,16,8,0.987006052,0.953486067,0.923760109,0.894420739
53,0.0001,8,16,16,16,0.975607952,0.953586841,0.924201862,0.892182128
54,0.0001,16,4,4,4,0.983906834,0.946528664,0.917653206,0.88625556
55,0.0001,16,4,4,8,0.979768717,0.956089867,0.924226426,0.896259345
56,0.0001,16,4,4,16,0.983253842,0.947033126,0.923755964,0.895503871
57,0.0001,16,4,8,4,0.981134991,0.960149821,0.926063896,0.890907491
58,0.0001,16,4,8,8,0.992394392,0.956700857,0.931771746,0.894027328
59,0.0001,16,4,8,16,0.981414915,0.949941183,0.923132559,0.896643643
60,0.0001,16,4,16,4,0.979466633,0.955704399,0.92302953,0.887635545
61,0.0001,16,4,16,8,0.978619041,0.948216618,0.923581973,0.890942081
62,0.0001,16,4,16,16,0.99085329,0.963516408,0.930342767,0.898214102
63,0.0001,16,8,4,4,0.989460931,0.960852303,0.925698813,0.895819907
64,0.0001,16,8,4,8,0.981195587,0.953918866,0.925091266,0.892684559
65,0.0001,16,8,4,16,0.985061094,0.95797128,0.930457335,0.892582678
66,0.0001,16,8,8,4,0.985342375,0.955598296,0.927947135,0.898857117
67,0.0001,16,8,8,8,0.983396549,0.953929058,0.920529105,0.890027352
68,0.0001,16,8,8,16,0.984026758,0.956548226,0.920923481,0.899099159
69,0.0001,16,8,16,4,0.983798242,0.952981366,0.919413587,0.894061968
70,0.0001,16,8,16,8,0.984261312,0.957199586,0.923469655,0.888780535
71,0.0001,16,8,16,16,0.982846088,0.949585521,0.919409263,0.895533811
