,lr,p,b0,bi,trunk,best_epoch,R2,MSE
0,0.01,4.0,4.0,2.0,4.0,1034.0,0.4200403690338135,1.846338152885437
1,0.01,4.0,4.0,2.0,12.0,3022.0,0.8804289102554321,0.38066214323043823
2,0.01,4.0,4.0,8.0,4.0,975.0,0.4398565888404846,1.7832517623901367
3,0.01,4.0,4.0,8.0,12.0,1443.0,-11.03194522857666,38.30445861816406
4,0.01,4.0,12.0,2.0,4.0,2219.0,0.7103978395462036,0.9219667315483093
5,0.01,4.0,12.0,2.0,12.0,1319.0,0.485174298286438,1.6389800310134888
6,0.01,4.0,12.0,8.0,4.0,1771.0,0.72589111328125,0.8726429343223572
7,0.01,4.0,12.0,8.0,12.0,874.0,-0.29982757568359375,4.138082981109619
8,0.01,12.0,4.0,2.0,4.0,1943.0,-0.4792424440383911,4.709261894226074
9,0.01,12.0,4.0,2.0,12.0,1547.0,-0.9805196523666382,6.305109024047852
10,0.01,12.0,4.0,8.0,4.0,1339.0,-77.53579711914062,250.02365112304688
11,0.01,12.0,4.0,8.0,12.0,1177.0,-19.28500747680664,64.57859802246094
12,0.01,12.0,12.0,2.0,4.0,3939.0,0.576121985912323,1.3494423627853394
13,0.01,12.0,12.0,2.0,12.0,1472.0,-0.4193159341812134,4.518481731414795
14,0.01,12.0,12.0,8.0,4.0,328.0,-183.79710388183594,588.313232421875
15,0.01,12.0,12.0,8.0,12.0,786.0,-6.311838626861572,23.277698516845703
